turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00344-AA,2026-1,TCC00344,AA,1,segunda,07:00,09:00,L306,07:00-09:00,LAB. 306,07:00-09:00 LAB. 306,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00344-AA,2026-1,TCC00344,AA,2,quarta,07:00,09:00,L306,07:00-09:00,LAB. 306,07:00-09:00 LAB. 306,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00346-AA,2026-1,TCC00346,AA,1,terca,16:00,18:00,L305,16:00-18:00,LAB. 305,16:00-18:00 LAB. 305,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00346-BA,2026-1,TCC00346,BA,1,quinta,16:00,18:00,L305,16:00-18:00,LAB. 305,16:00-18:00 LAB. 305,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00355-EA,2026-1,TCC00355,EA,1,segunda,20:00,22:00,L306,20:00-22:00,LAB. 306,20:00-22:00 LAB. 306,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00355-EA,2026-1,TCC00355,EA,2,quarta,20:00,22:00,L306,20:00-22:00,LAB. 306,20:00-22:00 LAB. 306,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00355-FA,2026-1,TCC00355,FA,1,segunda,20:00,22:00,L307,20:00-22:00,LAB. 307,20:00-22:00 LAB. 307,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00355-FA,2026-1,TCC00355,FA,2,quarta,20:00,22:00,L307,20:00-22:00,LAB. 307,20:00-22:00 LAB. 307,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00304-A1,2026-1,TCC00304,A1,1,segunda,11:00,13:00,206,11:00-13:00,SALA 206,11:00-13:00 SALA 206,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00304-A1,2026-1,TCC00304,A1,2,quarta,11:00,13:00,206,11:00-13:00,SALA 206,11:00-13:00 SALA 206,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00305-A1,2026-1,TCC00305,A1,1,segunda,07:00,09:00,206,07:00-09:00,SALA 206,07:00-09:00 SALA 206,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00305-A1,2026-1,TCC00305,A1,2,quarta,07:00,09:00,206,07:00-09:00,SALA 206,07:00-09:00 SALA 206,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00306-A1,2026-1,TCC00306,A1,1,terca,09:00,11:00,302,09:00-11:00,SALA 302,09:00-11:00 SALA 302,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00306-A1,2026-1,TCC00306,A1,2,quinta,09:00,11:00,302,09:00-11:00,SALA 302,09:00-11:00 SALA 302,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00330-A1,2026-1,TCC00330,A1,1,segunda,18:00,20:00,215,18:00-20:00,SALA 215,18:00-20:00 SALA 215,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00330-A1,2026-1,TCC00330,A1,2,quarta,18:00,20:00,215,18:00-20:00,SALA 215,18:00-20:00 SALA 215,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00318-A1,2026-1,TCC00318,A1,1,terca,09:00,11:00,217,09:00-11:00,SALA 217,09:00-11:00 SALA 217,3,dados/brutos/QH-2026-1.pdf
